,AUROC,AUPRC,F1,Precision,Recall
isolation_forest,0.9425,0.9864,0.9299,0.8691,0.9999
ocsvm,0.8093,0.9583,0.9108,0.8669,0.9595
lof,0.8974,0.9713,0.9281,0.866,0.9997
cnn_autoencoder,0.9321,0.985,0.6272,0.9842,0.4603
